"Date","Price","Open","High","Low","Vol.","Change %"
"15-04-2024","73,399.78","73,315.16","73,905.80","73,315.16","12.81M","-1.14%"
"12-04-2024","74,244.90","74,889.64","74,951.88","74,189.31","15.65M","-1.06%"
"10-04-2024","75,038.15","74,953.96","75,105.14","74,807.55","7.08M","0.47%"
"09-04-2024","74,683.70","75,124.28","75,124.28","74,603.37","40.99M","-0.08%"
"08-04-2024","74,742.50","74,555.44","74,869.30","74,410.07","8.30M","0.67%"
"05-04-2024","74,248.22","74,287.02","74,361.11","73,946.92","11.30M","0.03%"
"04-04-2024","74,227.63","74,413.82","74,501.73","73,485.12","10.74M","0.47%"
"03-04-2024","73,876.82","73,757.23","74,151.21","73,540.27","7.93M","-0.04%"
"02-04-2024","73,903.91","74,022.30","74,099.78","73,743.77","6.25M","-0.15%"
"01-04-2024","74,014.55","73,968.62","74,254.62","73,909.39","13.09M","0.49%"
"28-03-2024","73,651.35","73,149.34","74,190.31","73,120.33","14.88M","0.90%"
"27-03-2024","72,996.31","72,692.16","73,138.73","72,600.73","9.38M","0.73%"
"26-03-2024","72,470.30","72,396.97","72,705.29","72,363.03","30.62M","-0.50%"
"22-03-2024","72,831.94","72,231.66","73,115.62","72,172.09","26.08M","0.26%"
"21-03-2024","72,641.19","72,507.36","72,882.46","72,416.03","12.94M","0.75%"
"20-03-2024","72,101.69","72,036.86","72,402.67","71,674.42","8.28M","0.12%"
"19-03-2024","72,012.05","72,462.94","72,490.09","71,933.35","38.39M","-1.01%"
"18-03-2024","72,748.42","72,587.30","72,985.89","72,314.16","11.02M","0.14%"
"15-03-2024","72,643.43","72,886.77","72,998.07","72,484.82","22.32M","-0.62%"
"14-03-2024","73,097.28","72,570.10","73,364.30","72,497.19","9.99M","0.46%"
"13-03-2024","72,761.89","73,993.40","74,052.75","72,515.71","452.05M","-1.23%"
"12-03-2024","73,667.96","73,516.42","74,004.16","73,342.12","9.63M","0.22%"
"11-03-2024","73,502.64","74,175.93","74,187.35","73,433.91","9.80M","-0.83%"
"07-03-2024","74,119.39","74,242.74","74,245.17","73,921.48","15.97M","0.05%"
"06-03-2024","74,085.99","73,587.70","74,151.27","73,321.48","13.29M","0.55%"
"05-03-2024","73,677.13","73,767.42","73,915.54","73,412.25","21.23M","-0.26%"
"04-03-2024","73,872.29","73,903.09","73,990.13","73,747.01","14.19M","0.09%"
"02-03-2024","73,806.15","73,848.19","73,994.70","73,778.14","2.96M","0.08%"
"01-03-2024","73,745.35","72,606.31","73,819.21","72,591.14","20.65M","1.72%"
"29-02-2024","72,500.30","72,220.57","72,730.00","72,099.32","18.55M","0.27%"
"28-02-2024","72,304.88","73,162.82","73,223.11","72,222.29","6.17M","-1.08%"
"27-02-2024","73,095.22","72,723.53","73,161.30","72,660.13","8.26M","0.42%"
"26-02-2024","72,790.13","73,044.81","73,092.26","72,666.82","7.87M","-0.48%"
"23-02-2024","73,142.80","73,394.44","73,413.93","73,022.00","11.95M","-0.02%"
"22-02-2024","73,158.24","72,677.42","73,256.39","72,082.72","9.13K","0.74%"
"21-02-2024","72,623.09","73,267.93","73,267.93","72,450.74","13.91K","-0.59%"
"20-02-2024","73,057.40","72,727.87","73,130.69","72,510.24","7.73M","0.48%"
"19-02-2024","72,708.16","72,627.60","72,881.93","72,308.68","8.41M","0.39%"
"16-02-2024","72,426.64","72,406.02","72,545.33","72,218.10","15.15M","0.52%"
"15-02-2024","72,050.38","72,061.67","72,164.08","71,646.33","8.19K","0.32%"
"14-02-2024","71,822.83","71,035.25","71,938.59","70,809.84","10.69M","0.37%"
"13-02-2024","71,555.19","71,291.66","71,661.61","70,924.60","8.07K","0.68%"
"12-02-2024","71,072.49","71,722.31","71,756.58","70,922.57","10.69M","-0.73%"
"09-02-2024","71,595.49","71,410.29","71,676.49","71,200.31","18.98M","0.23%"
"08-02-2024","71,428.43","72,470.82","72,473.42","71,230.62","14.48K","-1.00%"
"07-02-2024","72,152.00","72,548.50","72,559.21","71,938.22","12.78M","-0.05%"
"06-02-2024","72,186.09","71,970.82","72,261.40","71,625.18","10.47M","0.63%"
"05-02-2024","71,731.42","72,268.66","72,380.13","71,606.12","19.88K","-0.49%"
"02-02-2024","72,085.63","71,977.50","73,080.59","71,954.60","19.37K","0.61%"
"01-02-2024","71,645.30","71,994.36","72,147.72","71,577.45","11.49K","-0.15%"
"31-01-2024","71,752.11","71,081.30","71,850.11","70,849.54","11.01K","0.86%"
"30-01-2024","71,139.90","72,000.20","72,139.79","71,077.76","12.91K","-1.11%"
"29-01-2024","71,941.57","70,969.79","72,001.40","70,960.74","13.94K","1.76%"
"25-01-2024","70,700.67","71,022.10","71,022.10","70,319.04","36.66K","-0.51%"
"24-01-2024","71,060.31","70,165.49","71,148.91","70,006.91","15.56K","0.98%"
"23-01-2024","70,370.55","71,869.61","72,027.28","70,239.43","11.38K","-1.47%"
"20-01-2024","71,423.65","72,008.30","72,026.26","71,312.71","","-0.36%"
"19-01-2024","71,683.23","71,786.74","71,895.64","71,542.74","25.52M","0.70%"
"18-01-2024","71,186.86","71,018.86","71,451.29","70,665.50","13.00M","-0.44%"
"17-01-2024","71,500.76","71,998.93","72,484.80","71,429.30","14.14M","-2.23%"
"16-01-2024","73,128.77","73,331.95","73,425.73","72,961.70","11.16K","-0.27%"
"15-01-2024","73,327.94","73,048.25","73,400.10","72,911.29","16.01K","1.05%"
"12-01-2024","72,568.45","72,148.07","72,717.06","71,988.09","20.44K","1.18%"
"11-01-2024","71,721.18","71,907.95","71,997.78","71,544.30","7.79K","0.09%"
"10-01-2024","71,657.71","71,372.17","71,733.14","71,114.51","9.37K","0.38%"
"09-01-2024","71,386.21","71,770.91","72,034.86","71,308.68","9.52K","0.04%"
"08-01-2024","71,355.22","72,042.79","72,180.75","71,304.48","10.90K","-0.93%"
"05-01-2024","72,026.15","72,022.56","72,156.48","71,782.02","14.86K","0.25%"
"04-01-2024","71,847.57","71,693.87","71,953.02","71,552.56","8.87K","0.69%"
"03-01-2024","71,356.60","71,832.62","71,832.62","71,310.18","13.55K","-0.75%"
"02-01-2024","71,892.48","72,332.85","72,332.85","71,615.87","0.28K","-0.53%"
"01-01-2024","72,271.94","72,219.01","72,557.25","72,034.23","9.73K","0.04%"
"29-12-2023","72,240.26","72,351.81","72,375.33","72,085.02","19.83K","-0.23%"
"28-12-2023","72,410.38","72,269.55","72,484.21","72,139.77","7.76K","0.52%"
"27-12-2023","72,038.43","71,479.67","72,119.00","71,479.67","9.81K","0.98%"
"26-12-2023","71,336.80","71,098.86","71,469.45","71,012.08","7.74K","0.32%"
"22-12-2023","71,106.96","71,045.65","71,259.55","70,713.56","15.30M","0.34%"
"21-12-2023","70,865.10","69,917.68","70,952.12","69,917.68","8.77K","0.51%"
"20-12-2023","70,506.31","71,634.17","71,910.14","70,305.45","13.18K","-1.30%"
"19-12-2023","71,437.19","71,479.08","71,622.91","71,073.58","8.58K","0.17%"
"18-12-2023","71,315.09","71,437.35","71,550.06","71,146.14","12.46K","-0.24%"
"15-12-2023","71,483.75","70,807.07","71,595.92","70,657.65","25.05K","1.37%"
"14-12-2023","70,514.20","70,145.00","70,602.11","70,145.00","12.25K","1.34%"
"13-12-2023","69,584.60","69,648.56","69,657.93","69,100.56","7.05M","0.05%"
"12-12-2023","69,551.03","70,020.68","70,033.63","69,446.26","7.00K","-0.54%"
"11-12-2023","69,928.53","69,925.63","70,057.83","69,782.48","12.45M","0.15%"
"08-12-2023","69,825.60","69,665.60","69,890.34","69,506.22","18.17K","0.44%"
"07-12-2023","69,521.69","69,700.30","69,700.30","69,320.53","26.03K","-0.19%"
"06-12-2023","69,653.73","69,532.11","69,744.57","69,398.33","10.36K","0.52%"
"05-12-2023","69,296.14","69,168.53","69,378.29","68,961.88","9.62K","0.63%"
"04-12-2023","68,865.12","68,435.34","68,903.45","68,282.01","30.87K","2.05%"
"01-12-2023","67,481.19","67,181.15","67,564.33","67,149.07","21.68M","0.74%"
"30-11-2023","66,988.44","66,965.74","67,067.04","66,617.17","11.07K","0.13%"
"29-11-2023","66,901.91","66,380.80","66,935.23","66,377.35","8.33K","1.10%"
"28-11-2023","66,174.20","66,064.05","66,255.33","65,906.65","5.08K","0.31%"
"24-11-2023","65,970.04","66,000.29","66,099.79","65,894.68","10.84K","-0.07%"
"23-11-2023","66,017.81","66,083.28","66,235.24","65,981.81","7.52K","-0.01%"
"22-11-2023","66,023.24","65,955.09","66,060.19","65,665.01","4.29K","0.14%"
"21-11-2023","65,930.77","65,882.74","66,081.91","65,850.29","5.41K","0.42%"
"20-11-2023","65,655.15","65,787.51","65,844.01","65,547.80","7.15M","-0.21%"
"17-11-2023","65,794.73","65,772.66","66,037.34","65,650.46","10.89K","-0.28%"
"16-11-2023","65,982.48","65,629.50","66,355.06","65,512.54","11.56K","0.47%"
"15-11-2023","65,675.93","65,461.54","65,747.65","65,373.50","7.53M","1.14%"
"13-11-2023","64,933.87","65,158.31","65,158.31","64,854.12","7.70K","-0.50%"
"12-11-2023","65,259.45","65,418.98","65,418.98","65,218.60","1.67M","0.55%"
"10-11-2023","64,904.68","64,756.11","65,011.44","64,593.66","11.14K","0.11%"
"09-11-2023","64,832.20","65,025.32","65,044.77","64,771.99","11.57K","-0.22%"
"08-11-2023","64,975.61","65,101.95","65,101.95","64,852.01","6.37K","0.05%"
"07-11-2023","64,942.40","65,020.60","65,021.29","64,638.24","7.70K","-0.03%"
"06-11-2023","64,958.69","64,848.15","64,991.88","64,617.86","8.13K","0.92%"
"03-11-2023","64,363.78","64,443.38","64,534.02","64,280.28","16.08K","0.44%"
"02-11-2023","64,080.90","64,040.10","64,201.93","63,815.72","6.38K","0.77%"
"01-11-2023","63,591.33","63,831.55","63,881.42","63,553.61","6.15K","-0.44%"
"31-10-2023","63,874.93","64,449.65","64,449.65","63,812.60","14.99K","-0.37%"
"30-10-2023","64,112.65","63,885.68","64,183.62","63,434.00","5.60K","0.52%"
"27-10-2023","63,782.80","63,559.32","63,912.93","63,396.12","12.61K","1.01%"
"26-10-2023","63,148.15","63,775.04","63,775.04","63,117.06","12.87K","-1.41%"
"25-10-2023","64,049.06","64,605.68","64,786.61","63,913.03","7.08K","-0.81%"
"23-10-2023","64,571.88","65,421.90","65,447.97","64,504.79","6.80K","-1.26%"
"20-10-2023","65,397.62","65,437.07","65,555.14","65,308.61","14.32M","-0.35%"
"19-10-2023","65,629.24","65,484.84","65,828.06","65,348.67","10.96K","-0.38%"
"18-10-2023","65,877.02","66,476.58","66,476.58","65,847.46","7.08K","-0.83%"
"17-10-2023","66,428.09","66,567.19","66,567.19","66,309.18","7.93K","0.39%"
"16-10-2023","66,166.93","66,246.37","66,342.59","66,047.36","6.56K","-0.17%"
"13-10-2023","66,282.74","66,034.21","66,478.90","65,895.41","13.40M","-0.19%"
"12-10-2023","66,408.39","66,564.57","66,577.60","66,339.42","7.13M","-0.10%"
"11-10-2023","66,473.05","66,381.24","66,591.89","66,311.31","16.76K","0.60%"
"10-10-2023","66,079.36","65,661.70","66,179.14","65,661.70","5.15K","0.87%"
"09-10-2023","65,512.39","65,560.07","65,789.98","65,434.61","7.27M","-0.73%"
"06-10-2023","65,995.63","65,867.54","66,095.81","65,762.33","10.18M","0.55%"
"05-10-2023","65,631.57","65,597.62","65,751.97","65,443.34","8.03K","0.62%"
"04-10-2023","65,226.04","65,330.48","65,330.65","64,880.66","8.64K","-0.44%"
